hand,unsuited,suited
"2,2",0.5101448863636364,0.5872868357487923
"2,3",0.29966761363636363,0.32957891414141416
"2,4",0.29879419191919193,0.32762247474747475
"2,5",0.31680271464646464,0.3506657196969697
"2,6",0.313676452020202,0.35657859848484846
"2,7",0.33075757575757575,0.37333017676767677
"2,8",0.34492045454545456,0.37844160353535355
"2,9",0.3740814393939394,0.40939267676767677
"2,10",0.39636300505050504,0.4339362373737374
"2,11",0.425291351010101,0.45885069444444443
"2,12",0.4650470328282828,0.49179608585858586
"2,13",0.4935801767676768,0.5268465909090909
"2,14",0.5454075126262626,0.5656167929292929
"3,3",0.5351505681818182,0.6086938405797101
"3,4",0.31161521464646463,0.34027020202020203
"3,5",0.32020170454545455,0.3520306186868687
"3,6",0.3144782196969697,0.3558623737373737
"3,7",0.3344056186868687,0.37373674242424243
"3,8",0.35986237373737373,0.3835113636363636
"3,9",0.38122758838383836,0.41686521464646464
"3,10",0.40470896464646466,0.4353784722222222
"3,11",0.432543244949495,0.47666193181818184
"3,12",0.4662313762626263,0.502914457070707
"3,13",0.5059984217171717,0.5337556818181818
"3,14",0.5535523989898989,0.5786944444444444
"4,4",0.5613203914141414,0.6357433574879227
"4,5",0.31347474747474746,0.3582566287878788
"4,6",0.33172032828282827,0.36275
"4,7",0.34910637626262625,0.3730116792929293
"4,8",0.3666306818181818,0.40222664141414144
"4,9",0.39941224747474746,0.4168175505050505
"4,10",0.4108996212121212,0.4514453914141414
"4,11",0.4445653409090909,0.46738257575757575
"4,12",0.4736511994949495,0.49665214646464645
"4,13",0.5079141414141414,0.5312525252525252
"4,14",0.5634823232323233,0.5745041035353535
"5,5",0.5992020202020202,0.6571120169082125
"5,6",0.34178440656565656,0.37447695707070705
"5,7",0.3598371212121212,0.4030435606060606
"5,8",0.37433838383838386,0.4030426136363636
"5,9",0.3988721590909091,0.4325886994949495
"5,10",0.4273926767676768,0.45092960858585857
"5,11",0.4491609848484848,0.4849523358585859
"5,12",0.48678061868686867,0.5171234217171717
"5,13",0.5173077651515151,0.5414722222222222
"5,14",0.5633159722222222,0.5756938131313132
"6,6",0.6226631944444444,0.6733807367149759
"6,7",0.3667544191919192,0.41026073232323235
"6,8",0.3962982954545455,0.420477904040404
"6,9",0.415647095959596,0.43538289141414144
"6,10",0.44311805555555556,0.4688939393939394
"6,11",0.46187689393939396,0.4833380681818182
"6,12",0.48750252525252524,0.5240574494949495
"6,13",0.5346363636363637,0.5539570707070707
"6,14",0.5677427398989899,0.586029356060606
"7,7",0.6463636363636364,0.7063318236714976
"7,8",0.40312089646464644,0.44079229797979796
"7,9",0.43468055555555557,0.4578178661616162
"7,10",0.4552667297979798,0.48960637626262626
"7,11",0.4800583964646465,0.5057717803030303
"7,12",0.5103071338383839,0.5328162878787879
"7,13",0.5447042297979798,0.5588522727272728
"7,14",0.5816382575757576,0.6052102272727272
"8,8",0.674424558080808,0.7252484903381643
"8,9",0.4436742424242424,0.4891903409090909
"8,10",0.47524873737373735,0.5085094696969698
"8,11",0.49768087121212123,0.521916351010101
"8,12",0.5160732323232323,0.5399715909090909
"8,13",0.5557916666666667,0.5720688131313131
"8,14",0.5915871212121212,0.6159416035353535
"9,9",0.6958907828282829,0.7414770531400966
"9,10",0.4894854797979798,0.5222528409090909
"9,11",0.5089381313131313,0.5342986111111111
"9,12",0.5443181818181818,0.5631931818181818
"9,13",0.569741792929293,0.5895037878787879
"9,14",0.6080694444444444,0.6320094696969697
"10,10",0.7367462121212122,0.7688257850241546
"10,11",0.5348090277777777,0.5586111111111111
"10,12",0.5568162878787879,0.5871426767676767
"10,13",0.5941082702020202,0.6131208964646465
"10,14",0.630363005050505,0.6500675505050505
"11,11",0.7573888888888889,0.7953254830917874
"11,12",0.5818705808080809,0.5975296717171718
"11,13",0.5960208333333333,0.6199113005050505
"11,14",0.633988005050505,0.6532556818181818
"12,12",0.789407196969697,0.821381038647343
"12,13",0.6173238636363636,0.6278238636363637
"12,14",0.6524665404040404,0.6556925505050505
"13,13",0.8254018308080808,0.8430015096618357
"13,14",0.6644905303030303,0.6804753787878788
"14,14",0.8641900252525253,0.8819097222222222
